Subject,Start Date,Start Time,End Date,End Time,Description,Location
Monthly Strategy Delivery,09/01/2026,09:00 AM,09/01/2026,10:00 AM,Kickoff September,
Monthly Strategy Planning,09/29/2026,09:00 AM,09/29/2026,10:00 AM,Plan October,
Publish Mungu Blog #9,09/05/2026,10:00 AM,09/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #9,09/10/2026,10:00 AM,09/10/2026,11:00 AM,Narrative blog publish,
Monthly Strategy Delivery,10/01/2026,09:00 AM,10/01/2026,10:00 AM,Kickoff October,
Monthly Strategy Planning,10/29/2026,09:00 AM,10/29/2026,10:00 AM,Plan November,
Publish Mungu Blog #10,10/05/2026,10:00 AM,10/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #10,10/10/2026,10:00 AM,10/10/2026,11:00 AM,Narrative blog publish,
Ubuntuwa Commons Summit,10/26/2026,09:00 AM,10/26/2026,05:00 PM,Annual summit event,
Monthly Strategy Delivery,11/01/2026,09:00 AM,11/01/2026,10:00 AM,Kickoff November,
Monthly Strategy Planning,11/29/2026,09:00 AM,11/29/2026,10:00 AM,Plan December,
Publish Mungu Blog #11,11/05/2026,10:00 AM,11/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #11,11/10/2026,10:00 AM,11/10/2026,11:00 AM,Narrative blog publish,
Monthly Strategy Delivery,12/01/2026,09:00 AM,12/01/2026,10:00 AM,Kickoff December,
Monthly Strategy Planning,12/29/2026,09:00 AM,12/29/2026,10:00 AM,Plan Year-2,
Publish Mungu Blog #12,12/05/2026,10:00 AM,12/05/2026,11:00 AM,Narrative blog publish,
Publish Meridian Blog #12,12/10/2026,10:00 AM,12/10/2026,11:00 AM,Narrative blog publish,
OGD v1.0 Release,12/18/2026,09:00 AM,12/18/2026,10:00 AM,Release Organizational Genesis Document v1.0,
Annual Financial Report,12/28/2026,09:00 AM,12/28/2026,10:00 AM,Publish Year-End Financial Report
Monthly Strategy Delivery,01/01/2026,09:00 AM,01/01/2026,10:00 AM,Executive monthly kickoff,
Weekly Deep Work Block,01/04/2026,09:00 AM,01/04/2026,12:00 PM,Deep work (charter/OGD),Home Office
Sprint 1 Start,01/01/2026,09:00 AM,01/01/2026,09:30 AM,Sprint 1 kickoff,
Sprint 1 End,01/14/2026,05:00 PM,01/14/2026,05:30 PM,Sprint 1 close & review,
Weekly Review,01/08/2026,03:00 PM,01/08/2026,04:00 PM,Weekly work review,
Publish Mungu Blog #1,01/16/2026,10:00 AM,01/16/2026,11:00 AM,Narrative publish blog,
Publish Meridian Blog #1,01/23/2026,10:00 AM,01/23/2026,11:00 AM,Narrative publish blog,
Monthly Strategy Planning,01/29/2026,09:00 AM,01/29/2026,10:00 AM,Plan February,
Family Estate Legal Filing Start,01/30/2026,09:00 AM,01/30/2026,09:30 AM,Submit family estate paperwork,
Monthly Strategy Delivery,02/01/2026,09:00 AM,02/01/2026,10:00 AM,Kickoff February,
Weekly Deep Work Block,02/01/2026,09:00 AM,02/01/2026,12:00 PM,Deep work (legal + OGD),Home Office
Sprint 2 Start,01/15/2026,09:00 AM,01/15/2026,09:30 AM,Sprint 2 kickoff,
Sprint 2 End,01/28/2026,05:00 PM,01/28/2026,05:30 PM,Sprint 2 close & review,
Weekly Review,02/05/2026,03:00 PM,02/05/2026,04:00 PM,Weekly review,
Publish Mungu Blog #2,02/05/2026,10:00 AM,02/05/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #2,02/13/2026,10:00 AM,02/13/2026,11:00 AM,Narrative publish,
Weekly Deep Work Block,02/15/2026,09:00 AM,02/15/2026,12:00 PM,Deep work (hiring + OGD),Home Office
Monthly Strategy Planning,02/26/2026,09:00 AM,02/26/2026,10:00 AM,Plan March,
Client Coop Filing Prep Meeting,02/20/2026,02:00 PM,02/20/2026,03:00 PM,Meeting with Legal Admin,Zoom
Monthly Strategy Delivery,03/01/2026,09:00 AM,03/01/2026,10:00 AM,Kickoff March,
Weekly Deep Work Block,03/01/2026,09:00 AM,03/01/2026,12:00 PM,Deep work (charter/OGD),Home Office
Sprint 3 Start,02/29/2026,09:00 AM,02/29/2026,09:30 AM,Sprint 3 kickoff,
Sprint 3 End,03/14/2026,05:00 PM,03/14/2026,05:30 PM,Sprint 3 close & review,
Weekly Review,03/05/2026,03:00 PM,03/05/2026,04:00 PM,Weekly review,
Publish Mungu Blog #3,03/06/2026,10:00 AM,03/06/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #3,03/10/2026,10:00 AM,03/10/2026,11:00 AM,Narrative publish,
Steward Interviews Block,03/10/2026,01:00 PM,03/10/2026,04:00 PM,Steward candidate interviews,Zoom
Weekly Deep Work Block,03/15/2026,09:00 AM,03/15/2026,12:00 PM,OGD integration deep work,Home Office
Monthly Strategy Planning,03/29/2026,09:00 AM,03/29/2026,10:00 AM,Plan April,
Ubuntuwa Commons Legal Filing,04/01/2026,09:00 AM,04/01/2026,10:00 AM,Submit Ubuntuwa Commons filing,Legal Office
Monthly Strategy Delivery,04/01/2026,10:00 AM,04/01/2026,11:00 AM,April kickoff,
Weekly Review,04/02/2026,03:00 PM,04/02/2026,04:00 PM,Weekly review,
Publish Mungu Blog #4,04/05/2026,10:00 AM,04/05/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #4,04/10/2026,10:00 AM,04/10/2026,11:00 AM,Narrative publish,
Sprint 4 Start,04/01/2026,09:00 AM,04/01/2026,09:30 AM,Sprint 4 kickoff,
Sprint 4 End,04/14/2026,05:00 PM,04/14/2026,05:30 PM,Sprint 4 close & review,
Family Estate Formation Confirmed,04/10/2026,02:00 PM,04/10/2026,02:30 PM,Confirmation received,
Steward Orientation Session #1,04/16/2026,10:00 AM,04/16/2026,12:00 PM,Orientation for stewards,Zoom
Weekly Deep Work Block,04/19/2026,09:00 AM,04/19/2026,12:00 PM,Deep work (OGD + programs),Home Office
Monthly Strategy Planning,04/29/2026,09:00 AM,04/29/2026,10:00 AM,Plan May,
Client Coop Filing: Nandi,08/02/2026,09:00 AM,08/02/2026,09:30 AM,Nandi coop articles filed,Legal Office
Client Coop Filing: Wolof.io,08/10/2026,09:00 AM,08/10/2026,09:30 AM,Wolof.io coop articles filed,Legal Office
Client Coop Filing: Dogon,08/18/2026,09:00 AM,08/18/2026,09:30 AM,Dogon coop articles filed,Legal Office
Client Onboarding Training Session,08/04/2026,10:00 AM,08/04/2026,12:00 PM,Train client boards/teams,Zoom
Ubuntuwa Commons Summit,10/26/2026,09:00 AM,10/26/2026,05:00 PM,Annual Ubuntuwa Commons Summit,Event Venue
Publish Mungu Blog #8,08/05/2026,10:00 AM,08/05/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #8,08/10/2026,10:00 AM,08/10/2026,11:00 AM,Narrative publish,
Weekly Review,08/06/2026,03:00 PM,08/06/2026,04:00 PM,Weekly Review,
Monthly Strategy Delivery,08/01/2026,09:00 AM,08/01/2026,10:00 AM,August kickoff,
Monthly Strategy Planning,08/29/2026,09:00 AM,08/29/2026,10:00 AM,Plan September,
Sprint 5 Start,05/01/2026,09:00 AM,05/01/2026,09:30 AM,Sprint 5 kickoff,
Sprint 5 End,05/14/2026,05:00 PM,05/14/2026,05:30 PM,Sprint 5 close & review,
Sprint 6 Start,05/15/2026,09:00 AM,05/15/2026,09:30 AM,Sprint 6 kickoff,
Sprint 6 End,05/28/2026,05:00 PM,05/28/2026,05:30 PM,Sprint 6 close & review,
Monthly Strategy Delivery,01/01/2026,09:00 AM,01/01/2026,10:00 AM,Executive monthly kickoff,
Daily Standup,01/04/2026,09:00 AM,01/04/2026,09:15 AM,Daily Agile Standup,
Weekly Planning,01/04/2026,09:30 AM,01/04/2026,10:30 AM,Weekly planning (strategy + sprint),Zoom
Sprint 001 Planning,01/04/2026,10:30 AM,01/04/2026,11:30 AM,Sprint 001 kickoff & backlog,
Sprint 001 Start,01/04/2026,12:00 PM,01/04/2026,12:15 PM,Sprint 001 begins,
Sprint 001 Review & Retro,01/14/2026,04:00 PM,01/14/2026,05:00 PM,Sprint 001 review + retrospective,
Publish Mungu Blog #1,01/16/2026,10:00 AM,01/16/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #1,01/23/2026,10:00 AM,01/23/2026,11:00 AM,Narrative publish,
Weekly Planning,01/25/2026,09:30 AM,01/25/2026,10:30 AM,Weekly planning,
Monthly Strategy Planning,01/29/2026,09:00 AM,01/29/2026,10:00 AM,Plan Feb,
Family Estate Legal Filing Start,01/30/2026,09:00 AM,01/30/2026,10:00 AM,File personal estate charter,
Sprint 002 Planning,01/18/2026,09:30 AM,01/18/2026,10:30 AM,Sprint 002 kickoff,
Sprint 002 Start,01/18/2026,11:00 AM,01/18/2026,11:15 AM,Sprint 002 begins,
Sprint 002 Review & Retro,01/28/2026,04:00 PM,01/28/2026,05:00 PM,Sprint 002 review + retro,
Weekly Planning,02/01/2026,09:30 AM,02/01/2026,10:30 AM,Weekly planning,
Monthly Strategy Delivery,02/01/2026,09:00 AM,02/01/2026,10:00 AM,Feb kickoff,
Daily Standup,02/01/2026,09:00 AM,02/01/2026,09:15 AM,Daily Agile Standup,
Sprint 003 Planning,02/15/2026,09:30 AM,02/15/2026,10:30 AM,Sprint 003 kickoff,
Sprint 003 Start,02/15/2026,11:00 AM,02/15/2026,11:15 AM,Sprint 003 begins,
Sprint 003 Review & Retro,02/25/2026,04:00 PM,02/25/2026,05:00 PM,Sprint 003 review + retro,
Publish Mungu Blog #2,02/05/2026,10:00 AM,02/05/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #2,02/13/2026,10:00 AM,02/13/2026,11:00 AM,Narrative publish,
Weekly Planning,02/22/2026,09:30 AM,02/22/2026,10:30 AM,Weekly planning,
Monthly Strategy Planning,02/26/2026,09:00 AM,02/26/2026,10:00 AM,Plan Mar,
Steward Hiring Standup,02/10/2026,10:00 AM,02/10/2026,10:15 AM,Steward hiring backlog sync,
Client Intake Template Workshop,02/20/2026,02:00 PM,02/20/2026,03:30 PM,SOP intake template co-creation,Zoom
Sprint 004 Planning,03/01/2026,09:30 AM,03/01/2026,10:30 AM,Sprint 004 kickoff,
Sprint 004 Start,03/01/2026,11:00 AM,03/01/2026,11:15 AM,Sprint 004 begins,
Sprint 004 Review & Retro,03/11/2026,04:00 PM,03/11/2026,05:00 PM,Sprint 004 review + retro,
Weekly Planning,03/08/2026,09:30 AM,03/08/2026,10:30 AM,Weekly planning,
Publish Mungu Blog #3,03/06/2026,10:00 AM,03/06/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #3,03/10/2026,10:00 AM,03/10/2026,11:00 AM,Narrative publish,
Family Estate Formation Confirmed,04/10/2026,02:00 PM,04/10/2026,02:15 PM,Confirmation received,
Steward Orientation #1,04/16/2026,10:00 AM,04/16/2026,11:30 AM,Orientation session,Zoom
Monthly Strategy Delivery,04/01/2026,09:00 AM,04/01/2026,10:00 AM,Apr kickoff,
Sprint 005 Planning,04/05/2026,09:30 AM,04/05/2026,10:30 AM,Sprint 005 kickoff,
Sprint 005 Start,04/05/2026,11:00 AM,04/05/2026,11:15 AM,Sprint 005 begins,
Sprint 005 Review & Retro,04/15/2026,04:00 PM,04/15/2026,05:00 PM,Sprint 005 review + retro,
Weekly Planning,04/12/2026,09:30 AM,04/12/2026,10:30 AM,Weekly planning,
Publish Mungu Blog #4,04/05/2026,10:00 AM,04/05/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #4,04/10/2026,10:00 AM,04/10/2026,11:00 AM,Narrative publish,
Monthly Strategy Planning,04/29/2026,09:00 AM,04/29/2026,10:00 AM,Plan May,
Sprint 006 Planning,05/01/2026,09:30 AM,05/01/2026,10:30 AM,Sprint 006 kickoff,
Sprint 006 Start,05/01/2026,11:00 AM,05/01/2026,11:15 AM,Sprint 006 begins,
Sprint 006 Review & Retro,05/14/2026,04:00 PM,05/14/2026,05:00 PM,Sprint 006 review + retro,
Sprint 007 Planning,05/15/2026,09:30 AM,05/15/2026,10:30 AM,Sprint 007 kickoff,
Sprint 007 Start,05/15/2026,11:00 AM,05/15/2026,11:15 AM,Sprint 007 begins,
Sprint 007 Review & Retro,05/28/2026,04:00 PM,05/28/2026,05:00 PM,Sprint 007 review + retro,
Publish Mungu Blog #5,05/05/2026,10:00 AM,05/05/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #5,05/10/2026,10:00 AM,05/10/2026,11:00 AM,Narrative publish,
Weekly Planning,05/10/2026,09:30 AM,05/10/2026,10:30 AM,Weekly planning,
Monthly Strategy Delivery,05/01/2026,09:00 AM,05/01/2026,10:00 AM,May kickoff,
Sprint 008 Planning,06/01/2026,09:30 AM,06/01/2026,10:30 AM,Sprint 008 kickoff,
Sprint 008 Start,06/01/2026,11:00 AM,06/01/2026,11:15 AM,Sprint 008 begins,
Sprint 008 Review & Retro,06/14/2026,04:00 PM,06/14/2026,05:00 PM,Sprint 008 review + retro,
Sprint 009 Planning,06/15/2026,09:30 AM,06/15/2026,10:30 AM,Sprint 009 kickoff,
Sprint 009 Start,06/15/2026,11:00 AM,06/15/2026,11:15 AM,Sprint 009 begins,
Sprint 009 Review & Retro,06/28/2026,04:00 PM,06/28/2026,05:00 PM,Sprint 009 review + retro,
Publish Mungu Blog #6,06/05/2026,10:00 AM,06/05/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #6,06/10/2026,10:00 AM,06/10/2026,11:00 AM,Narrative publish,
Weekly Planning,06/07/2026,09:30 AM,06/07/2026,10:30 AM,Weekly planning,
Client Coop Filing: Nandi,08/02/2026,09:00 AM,08/02/2026,09:15 AM,Nandi coop filed,Legal Office
Client Coop Filing: Wolof.io,08/10/2026,09:00 AM,08/10/2026,09:15 AM,Wolof.io coop filed,Legal Office
Client Coop Filing: Dogon,08/18/2026,09:00 AM,08/18/2026,09:15 AM,Dogon coop filed,Legal Office
Client Onboarding Training,08/04/2026,10:00 AM,08/04/2026,12:00 PM,Training session with clients,Zoom
Publish Mungu Blog #8,08/05/2026,10:00 AM,08/05/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #8,08/10/2026,10:00 AM,08/10/2026,11:00 AM,Narrative publish,
Sprint 010 Planning,07/01/2026,09:30 AM,07/01/2026,10:30 AM,Sprint 010 kickoff,
Sprint 010 Start,07/01/2026,11:00 AM,07/01/2026,11:15 AM,Sprint 010 begins,
Sprint 010 Review & Retro,07/14/2026,04:00 PM,07/14/2026,05:00 PM,Sprint 010 review + retrospective,
Sprint 011 Planning,07/15/2026,09:30 AM,07/15/2026,10:30 AM,Sprint 011 kickoff,
Sprint 011 Start,07/15/2026,11:00 AM,07/15/2026,11:15 AM,Sprint 011 begins,
Sprint 011 Review & Retro,07/28/2026,04:00 PM,07/28/2026,05:00 PM,Sprint 011 review + retrospective,
Monthly Strategy Delivery,07/01/2026,09:00 AM,07/01/2026,10:00 AM,Jul kickoff,
Monthly Strategy Planning,07/29/2026,09:00 AM,07/29/2026,10:00 AM,Plan Aug,
Sprint 012 Planning,08/01/2026,09:30 AM,08/01/2026,10:30 AM,Sprint 012 kickoff,
Sprint 012 Start,08/01/2026,11:00 AM,08/01/2026,11:15 AM,Sprint 012 begins,
Sprint 012 Review & Retro,08/14/2026,04:00 PM,08/14/2026,05:00 PM,Sprint 012 review + retrospective,
Ubuntuwa Commons Summit,10/26/2026,09:00 AM,10/26/2026,05:00 PM,Annual summit event,
Publish Mungu Blog #10,10/05/2026,10:00 AM,10/05/2026,11:00 AM,Narrative publish,
Publish Meridian Blog #10,10/10/2026,10:00 AM,10/10/2026,11:00 AM,Narrative publish,
Sprint 013 Planning,09/01/2026,09:30 AM,09/01/2026,10:30 AM,Sprint 013 kickoff,
Sprint 013 Start,09/01/2026,11:00 AM,09/01/2026,11:15 AM,Sprint 013 begins,
Sprint 013 Review & Retro,09/14/2026,04:00 PM,09/14/2026,05:00 PM,Sprint 013 review + retro,
Sprint 014 Planning,09/15/2026,09:30 AM,09/15/2026,10:30 AM,Sprint 014 kickoff,
Sprint 014 Start,09/15/2026,11:00 AM,09/15/2026,11:15 AM,Sprint 014 begins,
Sprint 014 Review & Retro,09/28/2026,04:00 PM,09/28/2026,05:00 PM,Sprint 014 review + retro,
Monthly Strategy Delivery — W-0001,01/01/2026,09:00 AM,01/01/2026,10:00 AM,Kickoff Month 1 Strategy,
Weekly Deep Work Block — W-0001,01/04/2026,09:00 AM,01/04/2026,12:00 PM,Deep Work: Charter & OGD,Home Office
Daily Standup — Daily,01/04/2026,09:00 AM,01/04/2026,09:15 AM,Daily Agile Standup,Home Office
Sprint 001 Planning — W-0001,01/04/2026,10:00 AM,01/04/2026,11:00 AM,Sprint 1 planning,
Sprint 001 Start — W-0001,01/04/2026,11:00 AM,01/04/2026,11:15 AM,Sprint 1 begins,
Sprint 001 Review & Retro — W-0001,01/14/2026,04:00 PM,01/14/2026,05:00 PM,Sprint 1 review + retro,
WBS Onboarding Documents — S-0001,01/06/2026,09:00 AM,01/06/2026,10:30 AM,Create onboarding docs,Home Office
WBS Setup Tooling & Accounts — S-0002,01/06/2026,10:30 AM,01/06/2026,11:30 AM,Setup accounts & tooling,Home Office
Publish Mungu Blog #1 — Narrative,01/16/2026,10:00 AM,01/16/2026,11:00 AM,Narrative publish,Mastodon/Blog
Publish Meridian Blog #1 — Narrative,01/23/2026,10:00 AM,01/23/2026,11:00 AM,Narrative publish,Mastodon/Blog
Monthly Strategy Planning — W-0001,01/29/2026,09:00 AM,01/29/2026,10:00 AM,Plan February,
Family Estate Legal Filing Start — Formation,01/30/2026,09:00 AM,01/30/2026,09:30 AM,Submit estate charter paperwork,Legal Office
Weekly Planning — W-0001,02/01/2026,09:30 AM,02/01/2026,10:30 AM,Weekly planning meeting,Zoom
Daily Standup — Daily,02/01/2026,09:00 AM,02/01/2026,09:15 AM,Daily Agile Standup,Home Office
Sprint 002 Planning — W-0001,01/18/2026,09:30 AM,01/18/2026,10:30 AM,Sprint 2 planning,
Sprint 002 Start — W-0001,01/18/2026,11:00 AM,01/18/2026,11:15 AM,Sprint 2 begins,
Sprint 002 Review & Retro — W-0001,01/28/2026,04:00 PM,01/28/2026,05:00 PM,Sprint 2 review + retro,
Publish Mungu Blog #2 — Narrative,02/05/2026,10:00 AM,02/05/2026,11:00 AM,Narrative publish,Mastodon/Blog
Publish Meridian Blog #2 — Narrative,02/13/2026,10:00 AM,02/13/2026,11:00 AM,Narrative publish,Mastodon/Blog
Weekly Planning — W-0001,02/08/2026,09:30 AM,02/08/2026,10:30 AM,Weekly planning meeting,Zoom
Steward Hiring Standup — W-0001,02/10/2026,10:00 AM,02/10/2026,10:15 AM,Steward hiring sync,Zoom
Client Intake Template Workshop — W-0001,02/20/2026,02:00 PM,02/20/2026,03:30 PM,Co-create intake templates,Zoom
Monthly Strategy Planning — W-0001,02/26/2026,09:00 AM,02/26/2026,10:00 AM,Plan March,
Sprint 003 Planning — W-0001,02/15/2026,09:30 AM,02/15/2026,10:30 AM,Sprint 3 planning,
Sprint 003 Start — W-0001,02/15/2026,11:00 AM,02/15/2026,11:15 AM,Sprint 3 begins,
Sprint 003 Review & Retro — W-0001,02/25/2026,04:00 PM,02/25/2026,05:00 PM,Sprint 3 review + retro,
Publish Mungu Blog #3 — Narrative,03/06/2026,10:00 AM,03/06/2026,11:00 AM,Narrative publish,Mastodon/Blog
Publish Meridian Blog #3 — Narrative,03/10/2026,10:00 AM,03/10/2026,11:00 AM,Narrative publish,Mastodon/Blog
Family Estate Formation Confirmed — Formation,04/10/2026,02:00 PM,04/10/2026,02:15 PM,Confirmation received,Legal Office
Steward Orientation #1 — W-0001,04/16/2026,10:00 AM,04/16/2026,11:30 AM,Steward orientation session,Zoom
Monthly Strategy Delivery — W-0001,04/01/2026,09:00 AM,04/01/2026,10:00 AM,Apr kickoff,
Sprint 005 Planning — W-0001,04/05/2026,09:30 AM,04/05/2026,10:30 AM,Sprint 5 planning,
Sprint 005 Start — W-0001,04/05/2026,11:00 AM,04/05/2026,11:15 AM,Sprint 5 begins,
Sprint 005 Review & Retro — W-0001,04/15/2026,04:00 PM,04/15/2026,05:00 PM,Sprint 5 review + retro,
Publish Mungu Blog #4 — Narrative,04/05/2026,10:00 AM,04/05/2026,11:00 AM,Narrative publish,Mastodon/Blog
Publish Meridian Blog #4 — Narrative,04/10/2026,10:00 AM,04/10/2026,11:00 AM,Narrative publish,Mastodon/Blog
Weekly Planning — W-0001,04/12/2026,09:30 AM,04/12/2026,10:30 AM,Weekly planning meeting,Zoom
Monthly Strategy Planning — W-0001,04/29/2026,09:00 AM,04/29/2026,10:00 AM,Plan May,
Sprint 006 Planning — W-0001,05/01/2026,09:30 AM,05/01/2026,10:30 AM,Sprint 6 planning,
Sprint 006 Start — W-0001,05/01/2026,11:00 AM,05/01/2026,11:15 AM,Sprint 6 begins,
Sprint 006 Review & Retro — W-0001,05/14/2026,04:00 PM,05/14/2026,05:00 PM,Sprint 6 review + retro,
Sprint 007 Planning — W-0001,05/15/2026,09:30 AM,05/15/2026,10:30 AM,Sprint 7 planning,
Sprint 007 Start — W-0001,05/15/2026,11:00 AM,05/15/2026,11:15 AM,Sprint 7 begins,
Sprint 007 Review & Retro — W-0001,05/28/2026,04:00 PM,05/28/2026,05:00 PM,Sprint 7 review + retro,
Publish Mungu Blog #5 — Narrative,05/05/2026,10:00 AM,05/05/2026,11:00 AM,Narrative publish,Mastodon/Blog
Publish Meridian Blog #5 — Narrative,05/10/2026,10:00 AM,05/10/2026,11:00 AM,Narrative publish,Mastodon/Blog
Weekly Planning — W-0001,05/10/2026,09:30 AM,05/10/2026,10:30 AM,Weekly planning meeting,Zoom
Monthly Strategy Delivery — W-0001,05/01/2026,09:00 AM,05/01/2026,10:00 AM,May kickoff,
Sprint 008 Planning — W-0001,06/01/2026,09:30 AM,06/01/2026,10:30 AM,Sprint 8 planning,
Sprint 008 Start — W-0001,06/01/2026,11:00 AM,06/01/2026,11:15 AM,Sprint 8 begins,
Sprint 008 Review & Retro — W-0001,06/14/2026,04:00 PM,06/14/2026,05:00 PM,Sprint 8 review + retro,
Sprint 009 Planning — W-0001,06/15/2026,09:30 AM,06/15/2026,10:30 AM,Sprint 9 planning,
Sprint 009 Start — W-0001,06/15/2026,11:00 AM,06/15/2026,11:15 AM,Sprint 9 begins,
Sprint 009 Review & Retro — W-0001,06/28/2026,04:00 PM,06/28/2026,05:00 PM,Sprint 9 review + retro,
Publish Mungu Blog #6 — Narrative,06/05/2026,10:00 AM,06/05/2026,11:00 AM,Narrative publish,Mastodon/Blog
Publish Meridian Blog #6 — Narrative,06/10/2026,10:00 AM,06/10/2026,11:00 AM,Narrative publish,Mastodon/Blog
Weekly Planning — W-0001,06/07/2026,09:30 AM,06/07/2026,10:30 AM,Weekly planning meeting,Zoom
Client Coop Filing: Nandi — Formation,08/02/2026,09:00 AM,08/02/2026,09:15 AM,File Nandi coop articles,Legal Office
Client Coop Filing: Wolof.io — Formation,08/10/2026,09:00 AM,08/10/2026,09:15 AM,File Wolof.io coop articles,Legal Office
Client Coop Filing: Dogon — Formation,08/18/2026,09:00 AM,08/18/2026,09:15 AM,File Dogon coop articles,Legal Office
Client Onboarding Training — W-0001,08/04/2026,10:00 AM,08/04/2026,12:00 PM,Client onboarding training session,Zoom
Ubuntuwa Commons Summit — Event,10/26/2026,09:00 AM,10/26/2026,05:00 PM,Annual Ubuntuwa Commons Summit,
Publish Mungu Blog #8 — Narrative,08/05/2026,10:00 AM,08/05/2026,11:00 AM,Narrative publish,Mastodon/Blog
Publish Meridian Blog #8 — Narrative,08/10/2026,10:00 AM,08/10/2026,11:00 AM,Narrative publish,Mastodon/Blog
